,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,0.08970895256281265,0.497457667819837,2.4240999155458547,-2.231263674756268,-0.20529184453078989,0.9389000013641031,0.0,0.1671561886276085,0.5953663381473194,-0.3636657970027493,0.27202413301951006,0.9196426037714989,0.2639997130121789,-0.10544146606063298,-0.10170673512244091,0.030118868375873378,0.807477428622134,-0.24417262206070017
9,-0.13138011214090817,0.15801893469169828,0.0,-1.060361629425214,-0.03569202658006013,0.374811309471085,0.1104044161630055,-0.06961131166474038,-0.07403471576308762,0.0,-0.09900133129505405,0.0,-0.43978042648361837,-0.25561062790876404,0.01605798068602591,0.1455925134718816,0.2607513583204529,-0.11226616294715538
24,-0.32181570332134074,-0.17003453501880672,0.0,0.0,-0.40033102016691013,0.22229339573225862,0.0,-0.0761679768428701,-0.20047077082327291,0.6283801956043508,-0.04571439409476887,0.0,0.35454479788864807,0.652486153775713,0.07701603110604824,-0.3561998687450868,0.18440419924556556,-0.1391726340133107
29,-0.1072689337452295,0.24327638421391087,-0.03855235623033701,-0.05646907748661299,-0.1662492445432851,-0.1009935443540105,0.0,-0.135662232872046,0.04169727844615579,0.0,0.2365736077251103,0.16202524116064176,0.1288526153923668,-0.12017246699782826,0.37808148940257935,0.18622107643924643,0.13608056274032973,-0.2748231072388462
31,-0.11801426400322089,0.250114855054889,0.3649190095366442,-0.1871287305088692,-0.5261872685751728,0.3909750709565926,0.0,-0.0772809086645772,-0.19022061009718877,0.0,-0.016853046522355558,-0.6957158408032664,0.0,0.2068372121373573,-0.6401138410196076,-0.6431812837064929,0.41790000050135295,-0.668488018181865
47,-0.5764669372799498,-0.2355370139707626,-0.6635928389750781,0.45522371645039467,0.11294292075719524,0.3227304401467158,1.5087572110575092,0.6716418346054115,-0.19803610885336806,0.0,1.2704748810785182,1.3346218054370746,0.4442510405655959,-0.30455821382598475,0.9651900490181936,-0.06061987716982591,0.6826068016674212,0.05152290087145417
60,-0.3989193660944725,0.4322076999403554,-0.5778618477046483,-1.0451026373390582,0.013801617276952291,0.06796961620228771,0.0,0.18408975045408477,0.06702664029221521,0.2539964091962366,-0.494209308739097,0.6636564081753971,0.09409584021993148,-0.1517058483934411,0.014597473194894546,0.2881266921953451,-0.31683169377410947,-0.21522793837531834
62,-0.5121417592010565,-0.16372912638419396,0.5565968976763307,-0.7373113468074296,-0.3309377213591013,0.46636673964508474,0.18796826419045629,0.48286336086580506,0.10940083343638511,0.35756640946807916,0.0629223780642275,-0.36493661081156265,0.42555358124613507,-0.14307555968288396,0.5058601130082115,-0.07418841743996527,0.5505462998965996,-0.29733169459373665
88,-0.24559335282793177,0.10734698957679358,-0.01642452162278106,-0.10947732300615648,-0.1713501972664262,0.21269439817380534,0.43537677275510994,0.057317980600720575,0.0111936396823474,0.40348084259544,0.042384936809667706,-0.17199601480264337,0.0030348537517944454,-0.08032072801791607,-0.29467750843267937,-0.18510764277348063,0.2996358881030155,0.19595880952889594
104,-0.3601478751716853,0.24404610502621027,-0.29496394759640127,0.04337115918184027,-0.12146055493631328,-0.20214474872758603,-0.6097412046651765,-0.042354850242213,-0.22078776111027462,0.0,0.14616344536734668,-0.29496394759640987,0.15374613825342484,0.33249309436722446,0.23461053987615343,0.40925554663856206,0.2757349562689598,-0.38462941443470927
